Agency,Agency Division,Budget
ABE LINCOLN PRES LIBRARY & MUS,ALPLM CONTRACTUAL EMPLOYEES,242072.2495
ABE LINCOLN PRES LIBRARY & MUS,ALPLM FTE EMPLOYEES,4005049.249
ABE LINCOLN PRES LIBRARY & MUS,ALPLM SEASONAL EMPLOYEES,64864.51446
AGING,ADULT PROTECTIVE SERVICE STATE,795482.7156
AGING,CCP STATE,1900910.158
AGING,COMMUNITY CARE SERVICE STATE,660042.2286
AGING,COMMUNITY OUTREACH STATE,295596.8238
AGING,DIRECTORS OFFICE,1083345.677
AGING,DOIT,1278435.009
AGING,DOIT CONTRACTUAL,91779.61393
AGING,FINANCE & ADMIN STATE,1117911.295
AGING,OMBUDSMAN STATE,289081.841
AGING,OMBUDSMAN STATE CONTRACTUAL,295879.7061
AGING,SENIOR HELPLINE,1721765.622
AGING,SHIP,516421.9334
AGING,SUPPORTIVE SERVICE STATE,697683.635
AGING,SUPPORTIVE SRVC STATE CONTRACTUAL,77235.42444
AGING,TITLE V FEDERAL,63577.3912
AGING,USDA FEDERAL,107703.222
AGRICULTURE,ADMINISTRATIVE SERVICES (CONTRACTUAL),101645.9184
AGRICULTURE,AG PREMIUM,203431.0034
AGRICULTURE,AG PRODUCTS INSPECTION,575945.784
AGRICULTURE,AGRICULTURE EXPORTS,109805.6131
AGRICULTURE,BACK PAY - UNPAID WAGE INCREASES - FY19,219688.3578
AGRICULTURE,BIOTECH,89610.25861
AGRICULTURE,BLDG & GRDS - EXTRA HELP,116602.3327
AGRICULTURE,BLDG & GROUNDS,191883.6167
AGRICULTURE,COUNTY FAIRS,92878.19876
AGRICULTURE,CRAFTS EXTRA HELP,925821.3867
AGRICULTURE,DQ REPAIR & MAINTENANCE (CONTRACTUAL),11091.54488
AGRICULTURE,ENVIRONMENTAL PROGRAMS-EXOTIC PESTS,422031.53
AGRICULTURE,EXTRA HELP,30853.73945
AGRICULTURE,EXTRA HELP (D),994.0356534
AGRICULTURE,FEED CONT FUND,472014.2123
AGRICULTURE,IL STANDARDBRED,66536.61869
AGRICULTURE,IL STATE FAIR,410777.192
AGRICULTURE,IL THROUGHBRED,109234.0603
AGRICULTURE,LAND AND WATER - PARTNERS,288801.8371
AGRICULTURE,LIVESTOCK MANAGEMENT FACILITIES FUND,337712.6925
AGRICULTURE,MASTER FUND,426865.4091
AGRICULTURE,MEAT INSPECTION,5554374.561
AGRICULTURE,MEDICINAL PLANTS,813707.8126
AGRICULTURE,PERSONAL SERVICES,4791849.075
AGRICULTURE,PERSONAL SERVICES (D),315326.4981
AGRICULTURE,PEST CONTROL FUND,2154372.44
AGRICULTURE,PESTCD ENF PROGRAM,270161.8079
AGRICULTURE,REPAIR AND MAINTENANCE,77366.57339
AGRICULTURE,SHARED SERVICES,655869.114
AGRICULTURE,SPFLD NON-FAIR (CONTRACTUAL),295488.6702
AGRICULTURE,STANDARDBRED  (CONTRACTUAL),31384.20186
AGRICULTURE,STATE FAIR OPERATIONS (CONTRACTUAL),15519.13067
AGRICULTURE,THOROUGHBRED(CONTRACTUAL),10265.44825
AGRICULTURE,WEIGHTS & MEASURES,1838326.756
AGRICULTURE,WEIGHTS & MEASURES - CONTRACTUAL,65921.09885
AGRICULTURE,WHOLESALE MEAT,37585.75071
AGRICULTURE,WHOLESALE MEAT ACT,56193.35968
ATTORNEY GENERAL,801 STATE PROJECTS,190048.9604
ATTORNEY GENERAL,AG MULTI PROGRAMS,2623093.564
ATTORNEY GENERAL,AG MULTI PURPOSE,2398627.308
ATTORNEY GENERAL,CHARITY BUREAU FUND,949550.7626
ATTORNEY GENERAL,COMPUTER CRIME INSTITUTE,55629.87139
ATTORNEY GENERAL,CONSUMER ENFORCEMENT & EDUCATION,1716161.441
ATTORNEY GENERAL,CONSUMER MORTGAGE FRAUD,96984.20957
ATTORNEY GENERAL,CONTRACTUAL SERVICES,152233.4121
ATTORNEY GENERAL,CRIME VICTIMS ASSISTANCE,422269.8898
ATTORNEY GENERAL,ENVIRONMENTAL TRUST FUND,597761.5449
ATTORNEY GENERAL,ILLINOIS GAMING LAW ENFORCEMENT FUND,405564.6124
ATTORNEY GENERAL,OPERATIONS LS,24858360.64
ATTORNEY GENERAL,OVW - RURAL,10973.36342
ATTORNEY GENERAL,TOBACCO/LAW ENFORCEMENT,1539270.274
ATTORNEY GENERAL,WHISTLE BLOWERS REWARD & PROTECTION,3026032.941
BOARD OF HIGHER EDUCATION,ADMINISTRATION OF THE ACADEMIC DEGREE ACT,266604.7766
BOARD OF HIGHER EDUCATION,IL LONGITUDINAL DATA SYSTEM,223082.7774
BOARD OF HIGHER EDUCATION,PBVS ADMINISTRATION,184784.8439
BOARD OF HIGHER EDUCATION,PERSONAL SERVICES,5397081.054
CAPITAL DEVELOPMENT BOARD,BACK PAY - UNPAID WAGE INCREASES - FY19,213580.0142
CAPITAL DEVELOPMENT BOARD,CONSTRUCTION,9011382.249
CAPITAL DEVELOPMENT BOARD,CONSTRUCTION DELAYED,15504.27813
CAPITAL DEVELOPMENT BOARD,CONTRACTUAL SERVICES,155466.0188
CENTRAL MANAGEMENT,,$100 
CENTRAL MANAGEMENT,AG SRVC/VEHICLES - CONTRACTUAL,$100 
CENTRAL MANAGEMENT,AG SVCS/SURPLUS/FEDERAL,$100 
CENTRAL MANAGEMENT,AG SVCS/SURPLUS/STATE,$100 
CENTRAL MANAGEMENT,AG SVCS/VEHICLES,$100 
CENTRAL MANAGEMENT,AGENCY SERVICES/LESO,$100 
CENTRAL MANAGEMENT,AO - UNPAID WAGE INCREASE - BACK PAY,$100 
CENTRAL MANAGEMENT,AO/ AG SRVC/ GRAPHIC ARTISTS,$100 
CENTRAL MANAGEMENT,AO/ CONTRACTUAL,$100 
CENTRAL MANAGEMENT,AO/ADMIN HEARINGS,$100 
CENTRAL MANAGEMENT,AO/AG SRVC/MAIL & MESSENGER,$100 
CENTRAL MANAGEMENT,AO/BEP-PSF,$100 
CENTRAL MANAGEMENT,AO/GRF,$100 
CENTRAL MANAGEMENT,AO/INFO SRVC/ MULTIMEDIA,$100 
CENTRAL MANAGEMENT,AO/INTERNAL AUDITS,$100 
CENTRAL MANAGEMENT,AO/LABOR CONTRACTUAL,$100 
CENTRAL MANAGEMENT,AO/LABOR RELATIONS,$100 
CENTRAL MANAGEMENT,AO/LEGAL SVCS,$100 
CENTRAL MANAGEMENT,AO/PERSONNEL PSF/ CONTRACTUAL,$100 
CENTRAL MANAGEMENT,AO/PERSONNEL/PSF,$100 
CENTRAL MANAGEMENT,AO/RAPID RESULTS,$100 
CENTRAL MANAGEMENT,AO/STRATEGIC SOURCING PSF/ CONTRACTUAL,$100 
CENTRAL MANAGEMENT,AO/STRATEGIC SOURCING/ PSF,$100 
CENTRAL MANAGEMENT,BOB/ WORKERS' COMP,$100 
CENTRAL MANAGEMENT,BOB/AUTO LIABILITY,$100 
CENTRAL MANAGEMENT,BOB/COMM COLLEGE GROUP INS,$100 
CENTRAL MANAGEMENT,BOB/DEFERRED COMP,$100 
CENTRAL MANAGEMENT,BOB/HIRF CONTRACTUAL,$100 
CENTRAL MANAGEMENT,BOB/HIRF GROUP INS,$100 
CENTRAL MANAGEMENT,BOB/LGHIRF,$100 
CENTRAL MANAGEMENT,BOB/TEACHERS' GROUP INS,$100 
CENTRAL MANAGEMENT,COURT REPORTERS - DOWNSTATE,$100 
CENTRAL MANAGEMENT,EXECUTIVE OFFICE-SPFLD-NBU-0108,$100 
CENTRAL MANAGEMENT,OPERATIONS LS,24241950.95
CENTRAL MANAGEMENT,PERSONNEL/UMP,$100 
CENTRAL MANAGEMENT,PROP MGMT PAYROLL - CONTRACTUAL,$100 
CENTRAL MANAGEMENT,PROP MGMT/FACILITIES,$100 
CHILDREN AND FAMILY SERVICES,ATTORNEY GENERAL REP,$100 
CHILDREN AND FAMILY SERVICES,BACK PAY - UNPAID WAGE INCREASES - GRF - FY16-FY18,$100 
CHILDREN AND FAMILY SERVICES,"BUDGET, LEGAL & COMPLIANCE",$100 
CHILDREN AND FAMILY SERVICES,DEPT INNOVATION TECHNOLOGY,$100 
CHILDREN AND FAMILY SERVICES,FEDERAL CHILD PROTECTION PROJECTS,$100 
CHILDREN AND FAMILY SERVICES,FOSTER CARE ADOP CARE TRNG,$100 
CHILDREN AND FAMILY SERVICES,FOSTER CARE INITIATIVE,$100 
CHILDREN AND FAMILY SERVICES,HEALTH CARE NETWORK,$100 
CHILDREN AND FAMILY SERVICES,INDEP LIVING INITIATIVE,$100 
CHILDREN AND FAMILY SERVICES,MCO TECHNICAL ASSIST & PROGRAM DEV,$100 
CHILDREN AND FAMILY SERVICES,PERSONAL SERVICES,4650717.385
CHILDREN AND FAMILY SERVICES,PERSONAL SERVICES BU,$100 
CHILDREN AND FAMILY SERVICES,SAC WIS,$100 
CHILDREN AND FAMILY SERVICES,SPECIAL PURPOSES TRUST FUND,$100 
CHILDREN AND FAMILY SERVICES,TARGETED CASE MANAGEMENT,$100 
CHILDREN AND FAMILY SERVICES,TITLE IV-E REIMBURSEMENT,$100 
CIVIL SERVICE COMMISSION,CONTRACTUAL SERVICES,151064.9279
CIVIL SERVICE COMMISSION,PERSONAL SERVICES,4291772.062
COMMERCE AND ECONOMIC OPPORTUN,BIBF ADMINISTRATION,$100 
COMMERCE AND ECONOMIC OPPORTUN,BROADBAND PROGRAM ADMINISTRATION,$100 
COMMERCE AND ECONOMIC OPPORTUN,BUSINESS DEVELOPMENT,$100 
COMMERCE AND ECONOMIC OPPORTUN,BUSINESS DEVELOPMENT-SBDC,$100 
COMMERCE AND ECONOMIC OPPORTUN,COMMUNITY DEVELOPMENT,$100 
COMMERCE AND ECONOMIC OPPORTUN,COMMUNITY DEVELOPMENT-CDAP,$100 
COMMERCE AND ECONOMIC OPPORTUN,COMMUNITY DEVELOPMENT-CSBG,$100 
COMMERCE AND ECONOMIC OPPORTUN,CONTRACTUAL - COMMERCE & COMMUNITY ASSISTANCE FUND,$100 
COMMERCE AND ECONOMIC OPPORTUN,ENERGY ADMIN,$100 
COMMERCE AND ECONOMIC OPPORTUN,FEDERAL LIHEAP,$100 
COMMERCE AND ECONOMIC OPPORTUN,FEDERAL WORKFORCE TRAINING,$100 
COMMERCE AND ECONOMIC OPPORTUN,FILMS,$100 
COMMERCE AND ECONOMIC OPPORTUN,GENERAL ADMINISTRATION,$100 
COMMERCE AND ECONOMIC OPPORTUN,LOCAL TOURISM,$100 
COMMERCE AND ECONOMIC OPPORTUN,OFFICE OF MINORITY ECONOMIC EMPOWERMENT,$100 
COMMERCE AND ECONOMIC OPPORTUN,OFFICE OF TRADE AND INVESTMENT,$100 
COMMERCE AND ECONOMIC OPPORTUN,PROCUREMENT TECHNICAL ASSISTANCE CENTERS,$100 
COMMERCE AND ECONOMIC OPPORTUN,REGIONAL ECONOMIC DEVELOPMENT,$100 
COMMERCE AND ECONOMIC OPPORTUN,STATE LIHEAP,$100 
COMMERCE AND ECONOMIC OPPORTUN,TECHNOLOGY & INDUSTRIAL COMPETITIVENESS,$100 
COMMERCE AND ECONOMIC OPPORTUN,TOURISM,$100 
COMMISSION ON HUMAN RIGHTS,CONTRACTUAL SERVICES TIRC,$100 
COMMISSION ON HUMAN RIGHTS,PERSONAL SERVICES,5296076.848
COMMISSION ON HUMAN RIGHTS,PERSONAL SERVICES ITIRC,$100 
COMMISSION ON HUMAN RIGHTS,PERSONAL SERVICES NON BARGAINING UNIT,$100 
COMPREHNSIVE HLTH INSURANCE BD,COMPREHENSIVE HEALTH INSURANCE PLAN,$100 
COMPTROLLER,AGRICULTURE,$100 
COMPTROLLER,AUDITOR GENERAL - PERSONAL SERVICES,$100 
COMPTROLLER,CHILDREN AND FAMILY SERVICES,$100 
COMPTROLLER,COMMISSIONER OF BANKS & TRUST COMPANIES,$100 
COMPTROLLER,COMPTROLLER OPERATIONS,$100 
COMPTROLLER,CONSTITUTIONAL ELECTED STATE OFFICIALS,$100 
COMPTROLLER,CONSTITUTIONAL EXECUTIVE AND MISCELLANEOUS,$100 
COMPTROLLER,CONTRACTUAL,$100 
COMPTROLLER,COURT REPORTERS - COLLAR COUNTIES,$100 
COMPTROLLER,COURT REPORTERS - CONTRACTUAL,$100 
COMPTROLLER,COURT REPORTERS - COOK COUNTY,$100 
COMPTROLLER,COURT REPORTERS - COOK COUNTY CLERICAL,$100 
COMPTROLLER,COURT REPORTERS - COOK COUNTY NON UNION,$100 
COMPTROLLER,COURT REPORTERS - DOWNSTATE,$100 
COMPTROLLER,COURT REPORTERS - PER DIEM,$100 
COMPTROLLER,COURT REPORTING SERVICES-CLERICAL (NON-CONFIDENTIAL),$100 
COMPTROLLER,DIRECTOR OF EMPLOYMENT SECURITY,$100 
COMPTROLLER,EMERGENCY MANAGEMENT SERVICES-1,$100 
COMPTROLLER,EXECUTIVE INSPECTOR GENERAL,$100 
COMPTROLLER,FINANCIAL AND PROFESSIONAL REGULATION,$100 
COMPTROLLER,FIRE MARSHALL,$100 
COMPTROLLER,IFT STIPENDS,$100 
COMPTROLLER,IFT/TEAMSTERS STIPENDS,$100 
COMPTROLLER,ILLINOIS POWER AGENCY,$100 
COMPTROLLER,ILLINOIS RACING BOARD PER DIEM,$100 
COMPTROLLER,INNOVATION AND TECHNOLOGY,$100 
COMPTROLLER,INSURANCE,$100 
COMPTROLLER,INTERNS,$100 
COMPTROLLER,LOTTERY,$100 
COMPTROLLER,NATURAL RESOURCES,$100 
COMPTROLLER,REAL ESTATE LICENSE ADMINISTRATION,$100 
COMPTROLLER,STATE POLICE MERIT BOARD  PER DIEM,$100 
COMPTROLLER,TRANSPORTATION,$100 
COMPTROLLER,WORKERS COMPENSATION COMMISSION,$100 
CORRECTIONS,ADMIN SHARED SERV,$100 
CORRECTIONS,ADULT EDUCATION,$100 
CORRECTIONS,ADULT EDUCATION FUND,$100 
CORRECTIONS,ADULT FIELD SERVICES,$100 
CORRECTIONS,BACK PAY - UNPAID WAGE INCREASES FY16-FY18,$100 
CORRECTIONS,BIG MUDDY RIVER CORRECTIONAL CENTER (INA},$100 
CORRECTIONS,CENTRALIA CORRECTIONAL CENTER,$100 
CORRECTIONS,CONTRACTUAL PAYROLL,$100 
CORRECTIONS,CORRECTIONAL INDUSTRIES,$100 
CORRECTIONS,DANVILLE CORRECTIONAL CENTER,$100 
CORRECTIONS,DECATUR WOMEN'S CORRECTIONAL CENTER,$100 
CORRECTIONS,DIXON CORRECTIONAL CENTER,$100 
CORRECTIONS,EAST MOLINE CORRECTIONAL CENTER,$100 
CORRECTIONS,ELGIN TREATMENT CENTER,$100 
CORRECTIONS,GENERAL OFFICE - IT,$100 
CORRECTIONS,GRAHAM CORRECTIONAL CENTER (HILLSBORO),$100 
CORRECTIONS,GRANTS MAGMT UNIT PAYROLL,$100 
CORRECTIONS,HILL CORRECTIONAL CENTER (GALESBURG),$100 
CORRECTIONS,IL RIVER CORRECTIONAL CENTER (CANTON),$100 
CORRECTIONS,JACKSONVILLE CORRECTIONAL CENTER,$100 
CORRECTIONS,JOLIET MENTAL HEALTH CORR CENTER,$100 
CORRECTIONS,KEWANEE CONTRACTUAL,$100 
CORRECTIONS,KEWANEE LIFE SKILLS RE-ENTRY CENTER,$100 
CORRECTIONS,LAWRENCE CORRECTIONAL CENTER,$100 
CORRECTIONS,LINCOLN CORRECTIONAL CENTER,$100 
CORRECTIONS,LOGAN CORRECTIONAL CENTER (LINCOLN),$100 
CORRECTIONS,MENARD CORRECTIONAL CENTER,$100 
CORRECTIONS,MURPHYSBORO LIFE SKILLS RE-ENTRY CENTER,$100 
CORRECTIONS,PERSONAL SERVICES,5036486.684
CORRECTIONS,PINCKNEYVILLE CORRECTIONAL CENTER,$100 
CORRECTIONS,PONTIAC CORRECTIONAL CENTER,$100 
CORRECTIONS,ROBINSON CORRECTIONAL CENTER,$100 
CORRECTIONS,SENTENCE POLICY ADVISORY COUNCIL,$100 
CORRECTIONS,SHAWNEE CORRECTIONAL CENTER (VIENNA),$100 
CORRECTIONS,SHERIDAN CORRECTIONAL CENTER,$100 
CORRECTIONS,SOUTHWESTERN IL CORRECTIONAL CENTER,$100 
CORRECTIONS,STATEVILLE CORRECTIONAL CENTER,$100 
CORRECTIONS,STIPENDS,$100 
CORRECTIONS,TAYLORVILLE CORRECTIONAL CENTER,$100 
CORRECTIONS,VANDALIA CORRECTIONAL CENTER,$100 
CORRECTIONS,VIENNA CORRECTIONAL CENTER,$100 
CORRECTIONS,WESTERN IL CORRECTION CENTER-MT STERLING,$100 
COUNCIL ON DEVELOPMENTAL DISAB,PERSONAL SERVICES,4755699.278
COURT OF CLAIMS,AWARDS-PAYROLLS,$100 
COURT OF CLAIMS,CONTRACTUAL PAYROLL,$100 
COURT OF CLAIMS,PERSONAL SERVICES,4529296.415
DEAF & HARD OF HEARING COMM,INTERPRETER LICENSURE,$100 
DEAF & HARD OF HEARING COMM,PERSONAL SERVICES,4591070.748
DEAF & HARD OF HEARING COMM,PERSONNEL SERVICES FOR NBU EMPLOYEES,$100 
EMPLOYMENT SECURITY,ATTORNEY GENERAL,$100 
EMPLOYMENT SECURITY,BACK PAY - UNPAID WAGE INCREASES,$100 
EMPLOYMENT SECURITY,CENTRAL ADMINISTRATION,$100 
EMPLOYMENT SECURITY,CONTRACTUAL SERVICES,127991.639
EMPLOYMENT SECURITY,FINANCIAL AND MANAGEMENT SERVICES,$100 
EMPLOYMENT SECURITY,OPERATIONS - TITLE III REGULAR,$100 
EMPLOYMENT SECURITY,UI REVENUE,$100 
EMPLOYMENT SECURITY,WIA - JOB TRAINING,$100 
ENVIRONMENTAL PROTECT AGENCY,ADMINISTRATIVE SERVICES,$100 
ENVIRONMENTAL PROTECT AGENCY,AIR - PERMIT FEES,$100 
ENVIRONMENTAL PROTECT AGENCY,AIR POLLUTION CONTROL-FEDERAL,$100 
ENVIRONMENTAL PROTECT AGENCY,BACK PAY - FY19 STEPS,$100 
ENVIRONMENTAL PROTECT AGENCY,CAAP PROGRAM,$100 
ENVIRONMENTAL PROTECT AGENCY,CLEAN WATER,$100 
ENVIRONMENTAL PROTECT AGENCY,DRINKING WATER PROGRAM SUPPORT,$100 
ENVIRONMENTAL PROTECT AGENCY,DRINKING WATER REVOLVING LOAN - ADMINISTRATION,$100 
ENVIRONMENTAL PROTECT AGENCY,ELECTRONIC RECYCLING,$100 
ENVIRONMENTAL PROTECT AGENCY,FEDERAL ENERGY,$100 
ENVIRONMENTAL PROTECT AGENCY,GREAT LAKES,$100 
ENVIRONMENTAL PROTECT AGENCY,GRF BACK PAY - UNPAID WAGE INCREASES,$100 
ENVIRONMENTAL PROTECT AGENCY,HAZARDOUS WASTE,$100 
ENVIRONMENTAL PROTECT AGENCY,HAZARDOUS WASTE ADMINISTRATION,$100 
ENVIRONMENTAL PROTECT AGENCY,LABORATORIES,$100 
ENVIRONMENTAL PROTECT AGENCY,LABORATORY CERTIFICATION,$100 
ENVIRONMENTAL PROTECT AGENCY,LAND - PERMIT AND INSPECTION,$100 
ENVIRONMENTAL PROTECT AGENCY,LAND POLLUTION-FEDERAL,$100 
ENVIRONMENTAL PROTECT AGENCY,LEAKING UNDERGROUND STORAGE TANKS,$100 
ENVIRONMENTAL PROTECT AGENCY,LOAN PROGRAM - ADMINISTRATIVE,$100 
ENVIRONMENTAL PROTECT AGENCY,LOAN PROGRAM SUPPORT,$100 
ENVIRONMENTAL PROTECT AGENCY,LPC-SUBTITLE D,$100 
ENVIRONMENTAL PROTECT AGENCY,POLLUTION CONTROL BOARD,$100 
ENVIRONMENTAL PROTECT AGENCY,PWS/LABS SAMPLE TESTING,$100 
ENVIRONMENTAL PROTECT AGENCY,SOLID WASTE MANAGEMENT FUND,$100 
ENVIRONMENTAL PROTECT AGENCY,USED TIRE MANAGEMENT,$100 
ENVIRONMENTAL PROTECT AGENCY,UST PROGRAM,$100 
ENVIRONMENTAL PROTECT AGENCY,VI-FED. CLEAN AIR,$100 
ENVIRONMENTAL PROTECT AGENCY,WATER POLLUTION CONTROL-FEDERAL,$100 
EXECUTIVE ETHICS COMMISSION,CHIEF PROCUREMENT OFFICERS NON-REPORTABLE,$100 
EXECUTIVE ETHICS COMMISSION,CONTRACTUAL SERVICES,145577.3538
EXECUTIVE ETHICS COMMISSION,EXECUTIVE ETHICS COMMISSION - PROCUREMENT,$100 
FINANCIAL AND PROFESSIONAL REG,APPRAISALS,$100 
FINANCIAL AND PROFESSIONAL REG,ATHLETICS/CONTRACTUAL,$100 
FINANCIAL AND PROFESSIONAL REG,BACK PAY - UNPAID WAGE INCREASES,$100 
FINANCIAL AND PROFESSIONAL REG,BACK PAY - UNPAID WAGE INCREASES - FY19 - PIC FUND,$100 
FINANCIAL AND PROFESSIONAL REG,BANKS & TRUST,$100 
FINANCIAL AND PROFESSIONAL REG,CEMETERY,$100 
FINANCIAL AND PROFESSIONAL REG,CREDIT UNION,$100 
FINANCIAL AND PROFESSIONAL REG,DENTAL,$100 
FINANCIAL AND PROFESSIONAL REG,DENTAL/CONTRACTUAL,$100 
FINANCIAL AND PROFESSIONAL REG,DESIGN,$100 
FINANCIAL AND PROFESSIONAL REG,GENERAL PROFESSIONS,$100 
FINANCIAL AND PROFESSIONAL REG,GENERAL PROFESSIONS/CONTRACTUAL,$100 
FINANCIAL AND PROFESSIONAL REG,HOME INSPECTORS,$100 
FINANCIAL AND PROFESSIONAL REG,ILLINOIS NURSING CENTER,$100 
FINANCIAL AND PROFESSIONAL REG,MEDICAL,$100 
FINANCIAL AND PROFESSIONAL REG,MEDICAL CANNABIS - LUMP SUM,$100 
FINANCIAL AND PROFESSIONAL REG,MEDICAL/CONTRACTUAL,$100 
FINANCIAL AND PROFESSIONAL REG,NURSE,$100 
FINANCIAL AND PROFESSIONAL REG,OPTOMETRIC,$100 
FINANCIAL AND PROFESSIONAL REG,PHARMACY,$100 
FINANCIAL AND PROFESSIONAL REG,PHARMACY/CONTRACTUAL,$100 
FINANCIAL AND PROFESSIONAL REG,PROFESSIONS INDIRECT COST,$100 
FINANCIAL AND PROFESSIONAL REG,PROFESSIONS INDIRECT COST/CONTRACTUAL,$100 
FINANCIAL AND PROFESSIONAL REG,REAL ESTATE,$100 
FINANCIAL AND PROFESSIONAL REG,REGISTERED CERTIFIED PUBLIC ACCOUNTANT,$100 
FINANCIAL AND PROFESSIONAL REG,RESIDENTIAL FINANCE,$100 
FINANCIAL AND PROFESSIONAL REG,SAVINGS INSTITUTIONS,$100 
FINANCIAL AND PROFESSIONAL REG,STIPENDS,$100 
GOVERNOR,CONTRACTUAL SERVICES,154349.4621
GOVERNOR,GOVERNORS GRANT,$100 
GOVERNOR,GOVERNORS GRANT - CONTRACTUAL,$100 
GOVERNOR,GOVERNORS OFFICE INTERAGENCY,$100 
GOVERNOR,PERSONAL SERVICES,5144453.428
GOVERNOR'S OFF OF MGT & BUDGET,BUILD ILLINOIS BOND FUND,$100 
GOVERNOR'S OFF OF MGT & BUDGET,CAPITAL DEVELOPMENT BOND FUND,$100 
GOVERNOR'S OFF OF MGT & BUDGET,GATA,$100 
GOVERNOR'S OFF OF MGT & BUDGET,PROGRAM AND BUDGET ANALYSIS,$100 
GOVERNOR'S OFF OF MGT & BUDGET,SCHOOL INFRASTRUCTURE,$100 
GUARDIAN & ADVOCACY COMM,OPERATIONS,$100 
GUARDIAN & ADVOCACY COMM,PERSONAL SERVICES,5187741.106
HEALTHCARE & FAMILY SERVICES,ATTORNEY GENERAL FIELD STAFF - EXEMPT,$100 
HEALTHCARE & FAMILY SERVICES,BACK PAY - UNPAID WAGE INCREASES,$100 
HEALTHCARE & FAMILY SERVICES,CENTRAL LEVEL OPERATIONS,$100 
HEALTHCARE & FAMILY SERVICES,CHILD SUPPORT,$100 
HEALTHCARE & FAMILY SERVICES,CHILD SUPPORT ENFORCEMENT * *,$100 
HEALTHCARE & FAMILY SERVICES,COLLECTION FEES/NON IV-O,$100 
HEALTHCARE & FAMILY SERVICES,DD PROVIDER,$100 
HEALTHCARE & FAMILY SERVICES,ELECTRONIC DATA PROCESSING,$100 
HEALTHCARE & FAMILY SERVICES,FCS - COOK COUNTY HEALTH & HOSPITAL SYSTEM,$100 
HEALTHCARE & FAMILY SERVICES,INSPECTOR GENERAL ILTC,$100 
HEALTHCARE & FAMILY SERVICES,INSPECTOR GENERAL/COLLECTIONS,$100 
HEALTHCARE & FAMILY SERVICES,LTC PROVIDER,$100 
HEALTHCARE & FAMILY SERVICES,MEDICAL,$100 
HEALTHCARE & FAMILY SERVICES,MEDICAL ADMINISTRATION,$100 
HEALTHCARE & FAMILY SERVICES,OFFICE OF INSPECTOR GENERAL,$100 
HEALTHCARE & FAMILY SERVICES,OIG,$100 
HEALTHCARE & FAMILY SERVICES,OTHER RELATED MED SERVCS,$100 
HEALTHCARE & FAMILY SERVICES,PART F,$100 
HEALTHCARE & FAMILY SERVICES,PART F - INFORMATION TECH INFRASTRUCTURE,$100 
HEALTHCARE & FAMILY SERVICES,PART F - MEDICAL,$100 
HEALTHCARE & FAMILY SERVICES,PART F - PROGRAM ADMIN,$100 
HEALTHCARE & FAMILY SERVICES,PART F MEDICAL,$100 
HEALTHCARE & FAMILY SERVICES,PART F OIG,$100 
HEALTHCARE & FAMILY SERVICES,PREMIUM FUND,$100 
HEALTHCARE & FAMILY SERVICES,PROGRAM ADMIN,$100 
HUMAN RIGHTS,D.H.R. ADMINISTRATION - CHICAGO,$100 
