Agency,Agency Division,Budget
PUBLIC HEALTH,HEALTH PROTECTION,$100 
PUBLIC HEALTH,HEALTH PROTECTION-PLUMBING,$100 
PUBLIC HEALTH,HEALTHY SMILES,$100 
PUBLIC HEALTH,HEARINGS REVIEW,$100 
PUBLIC HEALTH,HEART DISEASE,$100 
PUBLIC HEALTH,HOME CARE SERVICES LICENSURE,$100 
PUBLIC HEALTH,HOSPITAL LICENSURE,$100 
PUBLIC HEALTH,HPT OPIOID CO - AG,$100 
PUBLIC HEALTH,IDENTIFIED OFFENDERS,$100 
PUBLIC HEALTH,ILLINOIS STATE CANCER REGISTRY,$100 
PUBLIC HEALTH,IMMUNIZATION PROGRAM,$100 
PUBLIC HEALTH,INFECTIOUS DISEASE - IMMUNIZATION,$100 
PUBLIC HEALTH,INFECTIOUS DISEASE - STD,$100 
PUBLIC HEALTH,INFECTIOUS DISEASE - TUBERCULOSIS,$100 
PUBLIC HEALTH,INFORMATION TECHNOLOGY,$100 
PUBLIC HEALTH,IT - CHILDHOOD VACCINATION,$100 
PUBLIC HEALTH,IT - ELECTRONIC DEATH CERTIFICATE,$100 
PUBLIC HEALTH,LABORATORIES - TUBERCULOSIS,$100 
PUBLIC HEALTH,LABORATORIES-LEAD SCREENING,$100 
PUBLIC HEALTH,LABORATORY - METABOLIC,$100 
PUBLIC HEALTH,LABS - AFFORDABLE CARE ACT,$100 
PUBLIC HEALTH,MANUFACTURED FOOD REGULATORY PROGRAM,$100 
PUBLIC HEALTH,MANUFACTURED HOME PROGRAM,$100 
PUBLIC HEALTH,MATERNAL AND CHILD HEALTH TITLE V,$100 
PUBLIC HEALTH,MEDICAL CANNABIS,$100 
PUBLIC HEALTH,METABOLIC SCREENING,$100 
PUBLIC HEALTH,MORBIDITY AND RISK BEHAVIOR,$100 
PUBLIC HEALTH,NURSING SCHOLARSHIP FUND,$100 
PUBLIC HEALTH,OHP - AFFORDABLE CARE ACT,$100 
PUBLIC HEALTH,OPIOID OVERDOSE PREVENTION LUMP SUM,$100 
PUBLIC HEALTH,OPPS DPSQ OPIOID CO - AG,$100 
PUBLIC HEALTH,ORAL HEALTH WORKFORCE ACTIVITIES,$100 
PUBLIC HEALTH,PATIENT SAFETY DISCHARGE DATA,$100 
PUBLIC HEALTH,PHHS BLOCK,$100 
PUBLIC HEALTH,PRAMS,$100 
PUBLIC HEALTH,PRIVATE SEWAGE DISPOSAL,$100 
PUBLIC HEALTH,PUBLIC HEALTH LABS,$100 
PUBLIC HEALTH,RAPID INVESTIGATION & CONTROL,$100 
PUBLIC HEALTH,REIMBURSABLE LAB SERVICES,$100 
PUBLIC HEALTH,RURAL HEALTH - PRIMARY HLTH CARE,$100 
PUBLIC HEALTH,RURAL HEALTH - RECRUITMENT,$100 
PUBLIC HEALTH,RYAN WHITE THIRD PARTY REIMBURSEMENTS,$100 
PUBLIC HEALTH,SERVE ILLINOIS FEDERAL,$100 
PUBLIC HEALTH,SERVE ILLINOIS GRF,$100 
PUBLIC HEALTH,SOCIAL SECURITY BIRTH ENUMERATION,$100 
PUBLIC HEALTH,SPECIAL PROJECTS,$100 
PUBLIC HEALTH,SPRINGFIELD LABORATORY,$100 
PUBLIC HEALTH,TATTOO ESTABLISHMENT REGISTRATION,$100 
PUBLIC HEALTH,TOBACCO PREVENTION & CONTROL,$100 
PUBLIC HEALTH,VOLUNTARY NATIONAL RETAIL FOOD REGULATORY,$100 
PUBLIC HEALTH,WOMEN'S HEALTH PROMOTION,$100 
PUBLIC HEALTH,WOMEN'S HELATH,$100 
RACING BOARD,APPOINTEES - PERMANENT - HRF,$100 
RACING BOARD,APPOINTEES SUPERVISION - PERMANENT - HRF,$100 
RACING BOARD,BACK PAY - UNPAID WAGE INCREASES - FY16-FY18,$100 
RACING BOARD,EXECUTIVE CONSULATANT - CONTRACTAUL,$100 
RACING BOARD,PERSONAL SERVICES CODED - PERMANENT - HRF,$100 
RACING BOARD,PERSONAL SERVICES NON-CODED - PERMANENT - HRF,$100 
REVENUE,ACCOUNT PROCESSING-DRY CLEANERS-PERMANENT-TCAF,$100 
REVENUE,ACCOUNT PROCESSING-MISCELLANEOUS TAXES-PERMANENT-GRF,$100 
REVENUE,ACCOUNT PROCESSING-MISCELLANEOUS TAXES-PERMANENT-MFT,$100 
REVENUE,ACCOUNT PROCESSING-MISCELLANEOUS TAXES-PERMANENT-PPRT,$100 
REVENUE,ACCOUNT PROCESSING-MISCELLANEOUS TAXES-PERMANENT-TCAF,$100 
REVENUE,ACCOUNT PROCESSING-MISCELLANEOUS TAXES-PERM-TCAF,$100 
REVENUE,ACCOUNT PROCESSING-RETURNS PROCESSING-PERMANENT-GRF,$100 
REVENUE,ACCOUNT PROCESSING-RETURNS PROCESSING-PERMANENT-MFT,$100 
REVENUE,ACCOUNT PROCESSING-RETURNS PROCESSING-PERMANENT-PPRT,$100 
REVENUE,ACCOUNT PROCESSING-RETURNS PROCESSING-PERMANENT-UST,$100 
REVENUE,ADMINISTRATIVE HEARINGS-PERMANENT-GRF,$100 
REVENUE,AUDIT - PERMANENT - TCAF,$100 
REVENUE,AUDIT-PERMANENT-GRF,$100 
REVENUE,AUDIT-PERMANENT-MFT,$100 
REVENUE,AUDIT-PERMANENT-PPRT,$100 
REVENUE,AUDIT-PERMANENT-UST,$100 
REVENUE,BACK PAY - UNPAID WAGE INCREASES - FY19,224597.3721
REVENUE,BOARD OF APPEALS/CHICAGO PROBLEMS RESOLUTION-PERMANENT-GRF,$100 
REVENUE,BUDGET OFFICE-PERMANENT-GRF,$100 
REVENUE,BUDGET OFFICE-PERMANENT-MFT,$100 
REVENUE,BUREAU OF FINANCIAL CONTROL-PERMANENT-GRF,$100 
REVENUE,COLLECTIONS - PERMANENT - TCAF,$100 
REVENUE,COLLECTIONS-PERMANENT-GRF,$100 
REVENUE,COLLECTIONS-PERMANENT-MFT,$100 
REVENUE,COLLECTIONS-PERMANENT-PPRT,$100 
REVENUE,CUSTOMER SERVICES-CENTRAL REGISTRATION-PERMANENT-GRF,$100 
REVENUE,CUSTOMER SERVICES-TAXPAYER IDENTIFICATION DIV-PERM-MFT,$100 
REVENUE,CUSTOMER SERVICES-TAXPAYER IDENTIFICATION DIV-PERM-PPRT,$100 
REVENUE,CUSTOMER SERVICES-TAYPAYER IDENTIFICATION DIV-PERM-GRF,$100 
REVENUE,DIRECTOR'S STAFF-PERMANENT-GRF,$100 
REVENUE,DIRECTOR'S STAFF-PERMANENT-MFT,$100 
REVENUE,INFORMAL CONFERENCE BOARD - PERM - GRF,$100 
REVENUE,INTERNAL AFFAIRS-PERMANENT-GRF,$100 
REVENUE,INTERNAL AUDITS - PERMANENT - GRF,$100 
REVENUE,INVESTIGATION & PROSECUTION-PERMANENT-GRF,$100 
REVENUE,INVESTIGATIONS - PERMANENT - TCAF,$100 
REVENUE,LEGAL SERVICES - PERMANENT - MFT,$100 
REVENUE,LEGAL SERVICES-PERMANENT-GRF,$100 
REVENUE,LOCAL GOVERNMENT SERVICES - CONTRACTUAL - GRF,$100 
REVENUE,LOCAL GOVERNMENT SERVICES-LOCAL TAX ALLOCATION-PERM-GRF,$100 
REVENUE,LOCAL GOVERNMENT SERVICES-PROPERTY TAX-PERMANENT-GRF,$100 
REVENUE,LOCAL GOVERNMENT SERVICES-PROPERTY TAX-PERMANENT-PPRT,$100 
REVENUE,MUNICIPAL SALES TAX - LTA - PERMANENT - TCAF,$100 
REVENUE,OPERATIONS AND SPECIAL SERVICES-PERMANENT-GRF,$100 
REVENUE,PERSONNELOFFICE-PERMANENT-GRF,$100 
REVENUE,PROCUREMENT OFFICE - PERMANENT - GRF,$100 
REVENUE,PROPERTY MANAGEMENT & TELECOMMUNICATIONS SERVICES-PERM-GRF,$100 
REVENUE,PUBLICATIONS MANAGEMENT-PERMANENT-GRF,$100 
REVENUE,RESEARCH/ANALYSIS-PERMANENT-GRF,$100 
REVENUE,SPRINGFIELD PROBLEMS RESOLUTION - GRF,$100 
REVENUE,SSC-R FISCAL MFT,$100 
REVENUE,SSC-R HR GRF,$100 
SECRETARY OF STATE,ACCOUNTING REVENUE-EH-2009,$100 
SECRETARY OF STATE,ACCOUNTING REVENUE-NBU-2008,$100 
SECRETARY OF STATE,ADMIN HEARINGS-4703,$100 
SECRETARY OF STATE,ADMIN HEARINGS-DUI-4710,$100 
SECRETARY OF STATE,ADMIN HEARINGS-EH-4703,$100 
SECRETARY OF STATE,ADMIN HEARINGS-MVRB-4702EV,$100 
SECRETARY OF STATE,ARCHIVES & RECORDS-EH-2509,$100 
SECRETARY OF STATE,ARCHIVES & RECORDS-NBU-2508,$100 
SECRETARY OF STATE,AUTO ADMIN & MAINT-NBU-3008,$100 
SECRETARY OF STATE,BUDGET AND FISCAL MGMT-NBU-0208,$100 
SECRETARY OF STATE,BUSINESS SERVICES SPECIAL OPERATIONS,$100 
SECRETARY OF STATE,BUSINESS SVS-LPL-1301,$100 
SECRETARY OF STATE,BUSINESS SVS-SPEC OP FD-EH-1302,$100 
SECRETARY OF STATE,BUSINESS SVS-SPEC OP FUND-1302,$100 
SECRETARY OF STATE,CAPITOL SECURITY MEASURE-4570,$100 
SECRETARY OF STATE,COMMUNICATIONS-NBU-1808,$100 
SECRETARY OF STATE,CONT/EXEC GRP/GEN REV,$100 
SECRETARY OF STATE,CONT/FY 17 CDL PROGRAM IMP GRANT,$100 
SECRETARY OF STATE,CONT/GEN ADM GRP/GEN REV,$100 
SECRETARY OF STATE,CONT/GEN ADM GRP/GEN REV/LOPPY,$100 
SECRETARY OF STATE,CONT/GEN ADM GRP/L&L/ORGAN DONR,$100 
SECRETARY OF STATE,CONT/MTR VEH GRP/GENERAL REV,$100 
SECRETARY OF STATE,CONT/MVG/BAIID,$100 
SECRETARY OF STATE,CONT/MVG/SPECIAL LICENSE PLATE,$100 
SECRETARY OF STATE,CONT/SEC AUD & ENF FUND,$100 
SECRETARY OF STATE,CONT/SPECIAL SVS/GEN ADM GRP,$100 
SECRETARY OF STATE,CONT/VEHICLE EMISSIONS,$100 
SECRETARY OF STATE,CONT/VEHICLE SVS REPLATING,$100 
SECRETARY OF STATE,CONTRACTUAL/DUI,$100 
SECRETARY OF STATE,COURT OF CLAIMS-NBU-1708,$100 
SECRETARY OF STATE,DRIVER SERVICES-DS-4203,$100 
SECRETARY OF STATE,DRIVER SERVICES-DS-EH-4203,$100 
SECRETARY OF STATE,DRIVER SERVICES-METRO-4203,$100 
SECRETARY OF STATE,DRIVER SERVICES-METRO-EH-4203,$100 
SECRETARY OF STATE,DRIVERS SERVICES ADMIN-GRF,$100 
SECRETARY OF STATE,DRIVERS SERVICES ADMINISTRATION FUND (TVDL),$100 
SECRETARY OF STATE,EXECUTIVE OFFICE-CHGO-NBU-0108,$100 
SECRETARY OF STATE,EXECUTIVE OFFICE-SPFLD-NBU-0108,$100 
SECRETARY OF STATE,FAMILY RESPONSIBILITY FUND,$100 
SECRETARY OF STATE,GENERAL COUNSEL-1908,$100 
SECRETARY OF STATE,INDEX-EH-1609,$100 
SECRETARY OF STATE,INDEX-LOBBYIST REGISTRA-1602,$100 
SECRETARY OF STATE,INDEX-NBU-1608,$100 
SECRETARY OF STATE,INFORMATION SYSTEM TECH - REAL ID PROGRAMMING,$100 
SECRETARY OF STATE,INFORMATION SYSTEM TECH - SECURITIES PROGRAMMING,$100 
SECRETARY OF STATE,INFORMATION TECH-AUTO-2610,$100 
SECRETARY OF STATE,INFORMATION TECH-BU-2607,$100 
SECRETARY OF STATE,INSPECTOR GENERAL-NBU-4408,$100 
SECRETARY OF STATE,INTERNAL AUDIT-4803,$100 
SECRETARY OF STATE,LEGISLATIVE AFFAIRS-NBU-0308,$100 
SECRETARY OF STATE,LIB BLIND & PHY HANDICAP-2201,$100 
SECRETARY OF STATE,LIBRARY LITERACY-2201,$100 
SECRETARY OF STATE,LIBRARY TECHNOLOGY-2234,$100 
SECRETARY OF STATE,LIBRARY TECHNOLOGY-3H-2234,$100 
SECRETARY OF STATE,LIBRARY-NBU-2208,$100 
SECRETARY OF STATE,MTR VEH THEFT PREV & INS VERI,$100 
SECRETARY OF STATE,MV GRP - BAIID,$100 
SECRETARY OF STATE,MVTP & INSURANCE VERIFICATION ACT,$100 
SECRETARY OF STATE,ORGAN DONOR-NBU-3320,$100 
SECRETARY OF STATE,PERSONNEL-NBU-1108,$100 
SECRETARY OF STATE,PHYSICAL SERVICES-BU-2807,$100 
SECRETARY OF STATE,PHYSICAL SERVICES-EH-2809,$100 
SECRETARY OF STATE,POLICE SECURITY-4503,$100 
SECRETARY OF STATE,POLICE-BU-4507,$100 
SECRETARY OF STATE,POLICE-NBU-4508,$100 
SECRETARY OF STATE,PROPERTY CONTROL-NBU-3208,$100 
SECRETARY OF STATE,PROPERTY MANAGEMENT-5102,$100 
SECRETARY OF STATE,REAL ID-5011,$100 
SECRETARY OF STATE,SECURITIES AUDIT & ENF-EH-1501,$100 
SECRETARY OF STATE,SECURITIES INVESTORS ED-1510,$100 
SECRETARY OF STATE,SECURITIES-AUDIT & ENF-NBU-1501,$100 
SECRETARY OF STATE,TVDL TEMP VISITOR DRIVER LICENSE,$100 
SECRETARY OF STATE,VEHICLE SERVICES - AAMVANET,$100 
SECRETARY OF STATE,VEHICLE SERVICES SLP FUND - 4002,$100 
SECRETARY OF STATE,VEHICLE SERVICES-DS-4003,$100 
SECRETARY OF STATE,VEHICLE SERVICES-DS-EH-4003,$100 
SECRETARY OF STATE,VEHICLE SERVICES-METRO-4003,$100 
SECRETARY OF STATE,VEHICLE SERVICES-METRO-EH-4003,$100 
SECRETARY OF STATE,VEHICLE SVS REPLATING-4010,$100 
SECRETARY OF STATE,VEHICLE SVS-EMISSION INSP-4004,$100 
SECRETARY OF STATE,VEHICLE TITLES-EH-4009,$100 
SECRETARY OF STATE,VEHICLE TITLES-NBU-4008,$100 
SECRETARY OF STATE,VEHICLES - MVTP & INSURANCE 4120,$100 
STATE BOARD OF EDUCATION,COMPENSATION FOR ASSISTANT REGIONAL SUPERINTENDENTS - PPRT,$100 
STATE BOARD OF EDUCATION,COMPENSATION FOR REGIONAL SUPERINTENDENTS - PPRT,$100 
STATE BOARD OF EDUCATION,COST OF ISSUING TEACHERS CERTIFICATES,$100 
STATE BOARD OF EDUCATION,EARLY CHILDHOOD EDUCATION,$100 
STATE BOARD OF EDUCATION,EDUCATOR INVESTIGATIONS/HEARINGS,$100 
STATE BOARD OF EDUCATION,FISCAL SUPPORT SERVICES - CHILD NUTRITION,$100 
STATE BOARD OF EDUCATION,FISCAL SUPPORT SERVICES - FEDERAL,$100 
STATE BOARD OF EDUCATION,GRF - ASSESSMENTS,$100 
STATE BOARD OF EDUCATION,GRF ADMINISTRATION,$100 
STATE BOARD OF EDUCATION,GRF ASSESSMENTS - CONTRACTUAL,$100 
STATE BOARD OF EDUCATION,GRF LUMP SUM - CONTRACTUAL,$100 
STATE BOARD OF EDUCATION,LONGITUDINAL DATA SYSTEM - CONTRACTUAL,$100 
STATE BOARD OF EDUCATION,RESIDENTIAL SERVICES AUTHORITY,$100 
STATE BOARD OF EDUCATION,RESIDENTIAL SERVICES AUTHORITY - CONTRACTUAL,$100 
STATE BOARD OF EDUCATION,SCHOOL SUPPORT SERVICES CHILD NUTRITION - CONTRACTUAL,$100 
STATE BOARD OF EDUCATION,STATE CHARTER SCHOOL COMMISSION,$100 
STATE BOARD OF EDUCATION,TEACHING & LEARNING SERVICES - FED AG SERV,$100 
STATE BOARD OF EDUCATION,US DEPT OF ED - CONTRACTUAL,$100 
STATE BOARD OF ELECTIONS,ADMINISTRATION,$100 
STATE BOARD OF ELECTIONS,CAMPAIGN FINANCING,$100 
STATE BOARD OF ELECTIONS,ELECTIONS OPERATIONS,$100 
STATE BOARD OF ELECTIONS,GENERAL COUNSEL,$100 
STATE BOARD OF ELECTIONS,ILLINOIS VOTER REGISTRATION SYSTEMS (IVRS),$100 
STATE BOARD OF ELECTIONS,TECHNOLOGY DIVISION,$100 
STATE EMPLOYEES' RETIRE SYSTEM,CONTRACTUAL PAYROLL,$100 
STATE EMPLOYEES' RETIRE SYSTEM,ELECTRONIC DATA PROCESSING,$100 
STATE EMPLOYEES' RETIRE SYSTEM,GENERAL OFFICE,$100 
STATE EMPLOYEES' RETIRE SYSTEM,SERS REFUND ACCOUNT,$100 
STATE EMPLOYEES' RETIRE SYSTEM,SOCIAL SECURITY UNIT,$100 
STATE LOTTERY,IGA STAFF - PERMANENT - GRF,$100 
STATE LOTTERY,LOTTERY - CONTRACTUAL - SLF,$100 
STATE LOTTERY,LOTTERY - EDP - PERMANENT - SLF,$100 
STATE LOTTERY,LOTTERY CONTROL BOARD - PER DIEM - SLF,$100 
STATE LOTTERY,LOTTERY EUA STAFF - PERMANENT - SLF,$100 
STATE LOTTERY,LOTTERY OPERATIONS - SLF,$100 
STATE POLICE,ADVISORY BOARD/ADMINISTRATOR - CODE REGULAR,$100 
STATE POLICE,BACK PAY - UNPAID WAGE INCREASES - LUMP SUM - CODE REGULAR,$100 
STATE POLICE,BUREAU OF COMMUNICATIONS,$100 
STATE POLICE,BUREAU OF INDENTIFICATION-PERSONAL SERVICES-CODE,$100 
STATE POLICE,CCL REVIEW BOARD,$100 
STATE POLICE,CODIS FUNDING,$100 
STATE POLICE,DOO PATROL - SWORN OT,$100 
STATE POLICE,FEDERAL PROJECTS FUND PERSONAL SERVICES CODE,$100 
STATE POLICE,FORENSIC BACKLOG-CODE REGULAR,$100 
STATE POLICE,FRAUD & FORGERY,$100 
STATE POLICE,IDENTIFIED OFFENDER PROGRAM,$100 
STATE POLICE,INFORMATION SERVICES BUREAU COMMISSIONS,$100 
STATE POLICE,ISP SHARED SERVICES ADM,$100 
STATE POLICE,LEADS MAINTENANCE,$100 
STATE POLICE,MEDICAID FRAUD ISP IGA,$100 
STATE POLICE,MEDICAL MARIJUANA UNIT - CODE REGULAR,$100 
STATE POLICE,MEDICAL MARIJUANA UNIT - CONTRACTUAL,$100 
STATE POLICE,MENTAL HEALTH REPORTING,$100 
STATE POLICE,OFFICE OF TRAINING - CODE PERSONNEL,$100 
STATE POLICE,PATROLLING AND POLICING - ADMINISTRATION,$100 
STATE POLICE,PERSONAL SERVICES - CODE,$100 
STATE POLICE,PERSONAL SERVICES - CODE PERSONNEL,$100 
STATE POLICE,PERSONAL SERVICES - SWORN,$100 
STATE POLICE,PERSONAL SERVICES - SWORN OVERTIME - CADET CLASS,$100 
STATE POLICE,PERSONAL SERVICES-CODE PERSONNEL,$100 
STATE POLICE,PERSONAL SERVICES-DATA PROCESSING-CODE PERSONNEL,$100 
STATE POLICE,PERSONAL SERVICES-SWORN PREMIUM PAY,$100 
STATE POLICE,STATE ASSET FORFEITURE,$100 
STATE POLICE,STATE CRIME LAB - CODE OVERTIME,$100 
STATE POLICE,STATE OFFENDER DNA IDENTIFICATION,$100 
STATE POLICE,STATE POLICE FIREARMS SERVICES - CODE REGULAR,$100 
STATE POLICE,STATE POLICE FIREARMS SERVICES FUND,$100 
STATE POLICE,STATE POLICE FIREARMS SERVICES FUND - OVERTIME,$100 
STATE POLICE,STATE POLICE OPERATIONAL ASSISTANCE,$100 
STATE POLICE,STATE POLICE SER FUND-PERS SERVICES-SWORN OVERTIME,$100 
STATE POLICE,STATE POLICE SERVICE FUND - CODE OVERTIME,$100 
STATE POLICE,STATE POLICE SERVICES FUND - FTIP PERSONAL SERVICES,$100 
STATE POLICE,STATE POLICE SERVICES FUND - PERSONAL SERVICES,$100 
STATE POLICE,STATE POLICE SERVICES FUND - SWORN OVERTIME,$100 
STATE POLICE,STATEWIDE 9-1-1 ADMIN PROGRAM - CODE REGULAR,$100 
STATE POLICE,SWORN PERSONNEL - OVERTIME,$100 
STATE POLICE MERIT BOARD,PERSONAL SERVICES,5170412.675
STATE POLICE MERIT BOARD,STATE POLICE MERIT BOARD - CONTRACTUAL,$100 
STATE UNIV CIVIL SERV MERIT BD,PERSONAL SERVICES,5369778.696
TEACHERS' RETIREMENT SYSTEM,PERSONAL SERVICES,5040925.021
TRANSPORTATION,ACE - CODE OVERTIME,$100 
TRANSPORTATION,BACK PAY - UNPAID WAGE INCREASES - FY19,205852.7555
TRANSPORTATION,BUREAU OF SAFETY ENGINEERING NON-TECHNICAL REGULAR,$100 
TRANSPORTATION,BUREAU OF SAFETY ENGINEERING TECHNICAL HOURLY,$100 
TRANSPORTATION,BUREUA OF SAFETY ENGINEERING TECHNICAL REGULAR,$100 
TRANSPORTATION,"BUSINESS SERVICES, NON-TECHNICAL SALARIED",$100 
TRANSPORTATION,"BUSINESS SERVICES, TECHNICAL SALARIED",$100 
TRANSPORTATION,CODE SALARIED,$100 
TRANSPORTATION,CONTRACTUAL H/S SECRETARY OF STATE,$100 
TRANSPORTATION,CONTRACTUAL IL LAW ENFORCEMENT TRAINING & STANDARDS BOARD,$100 
TRANSPORTATION,CONTRACTUAL SERVICES DAY LABOR,$100 
TRANSPORTATION,D O T LOCAL ROADS MFT-TECHNICAL HOURLY,$100 
TRANSPORTATION,DAY LABOR FUNDS EXTRA HELP,$100 
TRANSPORTATION,DAY LABOR FUNDS PERSONAL SERVICES,$100 
TRANSPORTATION,DEPT OF POLICE-HIGHWAY SAFETY PROGRAM OPERATION STRAIGHT ID,$100 
TRANSPORTATION,DUIE - CODE OVERTIME,$100 
TRANSPORTATION,EXTRA HELP,33316.87707
TRANSPORTATION,MOTOR FUEL TAX FUNDS PERSONAL SERVICES,$100 
TRANSPORTATION,NON TECHNICAL,$100 
TRANSPORTATION,NON-TECHNICAL REGULAR,$100 
TRANSPORTATION,NON-TECHNICAL SALARIED,$100 
TRANSPORTATION,OCCUPANT RESTRAINT - PERSONAL SERVICES - SWORN OVERTIME,$100 
TRANSPORTATION,OREP - CODE OVERTIME,$100 
TRANSPORTATION,PERSONAL SERVICES,4832723.857
TRANSPORTATION,PERSONAL SERVICES - SWORN OVERTIME,$100 
TRANSPORTATION,PERSONAL SERVICES - TECHNICAL,$100 
TRANSPORTATION,PERSONAL SERVICES CODE,$100 
TRANSPORTATION,PERSONAL SERVICES SWORN OVERTIME,$100 
TRANSPORTATION,"PERSONNEL MGMT, TECHNICAL HOURLY",$100 
TRANSPORTATION,"PERSONNEL MGMT, TECHNICAL REGULAR",$100 
TRANSPORTATION,POLICE - HWY SAFETY - DISTRACTED DRIVING,$100 
TRANSPORTATION,POLICE-HWY SAFETY-COPS IN SHOPS,$100 
TRANSPORTATION,SHEP - CODE OVERTIME,$100 
TRANSPORTATION,SHEP - PERSONAL SERVICES - SWORN OVERTIME,$100 
TRANSPORTATION,TECHNICAL - HOURLY,$100 
TRANSPORTATION,TECHNICAL - REGULAR,$100 
TRANSPORTATION,TECHNICAL HOURLY,$100 
TRANSPORTATION,TECHNICAL REGULAR,$100 
TRANSPORTATION,TECHNICAL SALARIED,$100 
TRANSPORTATION,TRAFFIC ENFORCEMENT PERSONAL SERVICES SWORN OVERTIME,$100 
TRANSPORTATION,TRUCK TRAFFIC,$100 
TREASURER,ADMIN CONTRACTUAL SERVICES,$100 
TREASURER,BRIGHT START,$100 
TREASURER,CHARITABLE TRUST STABILIZATION FUND,$100 
TREASURER,I.P.T.I.P. PROGRAM,$100 
TREASURER,SECURE CHOICE,$100 
TREASURER,SPF ABLE,$100 
TREASURER,STO ADMIN GENERAL OFFICE,$100 
TREASURER,STO ADMIN PERSONAL SERVICES,$100 
TREASURER,UP,$100 
TREASURER,UP - CONTRACTUAL SERVICES,$100 
TREASURER,UP EDP,$100 
VETERANS' AFFAIRS,ANNA VETERANS HOME - GRF,$100 
VETERANS' AFFAIRS,BACK PAY - UNPAID WAGE INCREASES - ANNA VETERANS HOME,$100 
VETERANS' AFFAIRS,BACK PAY - UNPAID WAGE INCREASES - LASALLE VETERANS HOME,$100 
VETERANS' AFFAIRS,BACK PAY - UNPAID WAGE INCREASES - MANTENO VETERANS HOME,$100 
VETERANS' AFFAIRS,BACK PAY - UNPAID WAGE INCREASES - QUINCY VETERANS HOME,$100 
VETERANS' AFFAIRS,CENTRAL OFFICE,$100 
VETERANS' AFFAIRS,CENTRAL OFFICE CONTRACTUAL EMPLOYEE,$100 
VETERANS' AFFAIRS,HOMELESS PROGRAM - MEMBERS COMPENSATION,$100 
VETERANS' AFFAIRS,IHHC IDES - CONTRACTUAL,$100 
VETERANS' AFFAIRS,LASALLE VETERANS HOME - GRF,$100 
VETERANS' AFFAIRS,MANTENO VETERANS HOME - GRF,$100 
VETERANS' AFFAIRS,MANTENO VETERANS HOME - MEMBERS COMP,$100 
VETERANS' AFFAIRS,PRINCE HOME - GENERAL REVENUE FUND,$100 
VETERANS' AFFAIRS,QUINCY VETERANS HOME - GRF,$100 
VETERANS' AFFAIRS,QUINCY VETERANS HOME - MEMBERS COMP,$100 
VETERANS' AFFAIRS,STATE APPROVING AGENCY,$100 
VETERANS' AFFAIRS,STIPENDS - ANNA VETERANS HOME - AFSCME,$100 
VETERANS' AFFAIRS,STIPENDS - CENTRAL OFFICE - AFSCME,$100 
VETERANS' AFFAIRS,STIPENDS - LASALLE VETERANS HOME - AFSCME,$100 
VETERANS' AFFAIRS,VETERANS SERVICE OFFICE,$100 
